iter	Passed	Remaining
0	3595	1125342
1	4145	646636
2	4677	484945
3	5216	404289
4	5738	354646
5	5738	354646
6	9322	477004
7	9823	429434
8	10329	393797
9	10870	367166
10	10870	367166
11	11426	345072
12	15080	412670
13	15609	390230
14	16159	371665
15	16709	355679
16	17228	341117
17	17757	328520
18	18279	317203
19	18832	307598
20	19382	298901
21	19911	290701
22	20436	283188
23	20986	276636
24	20986	276636
25	21506	269292
26	25095	300102
27	25656	293508
28	26212	287330
29	26757	281454
30	27324	276175
31	27882	271133
32	28508	267034
33	29070	262575
34	29622	258271
35	30172	254177
36	30728	250350
37	31258	246496
38	31791	242850
39	32328	239408
40	32867	236125
41	33398	232931
42	33919	229803
43	34425	226703
44	34929	223713
45	35455	220975
46	35984	218360
47	36514	215842
48	37057	213484
49	37591	211151
50	38129	208916
51	38129	208916
52	41715	222200
53	42248	219691
54	42759	217151
55	43294	214805
56	43834	212553
57	44359	210295
58	44895	208152
59	45426	206041
60	45952	203963
61	46461	201868
62	47000	199953
63	47536	198068
64	48080	196263
65	48611	194445
66	49149	192697
67	49677	190948
68	50229	189327
69	50723	187524
70	51241	185846
71	51748	184165
72	52301	182676
73	52834	181145
74	53369	179653
75	53899	178167
76	54430	176711
77	54957	175270
78	55480	173838
79	55987	172381
80	56493	170948
81	57010	169568
82	57537	168242
83	58101	167042
84	58674	165881
85	59232	164696
86	59790	163522
87	60340	162345
88	60888	161176
89	61432	160010
90	61973	158851
91	62496	157662
92	63050	156563
93	63582	155423
94	64127	154329
95	64662	153222
96	65196	152124
97	65196	152124
98	65793	150484
99	66337	149433
100	66882	148394
101	67431	147375
102	67431	147375
103	71057	152265
104	71596	151147
105	72150	150073
106	72686	148970
107	73198	147831
108	73705	146695
109	74224	145594
110	74757	144531
111	75293	143483
112	75825	142438
113	75825	142438
114	79433	146363
115	79962	145252
116	80485	144141
117	80982	142996
118	84561	147226
119	85081	146069
120	85625	144961
121	86151	143835
122	86678	142721
123	87218	141637
124	87750	140548
125	88275	139459
126	88790	138364
127	88790	138364
128	92377	141238
129	92892	140100
130	93409	138975
131	93942	137883
132	94472	136796
133	95019	135742
134	95536	134654
135	96049	133568
136	96562	132492
137	97096	131454
138	97631	130423
139	98194	129437
140	98725	128417
141	99288	127445
142	99870	126503
143	100446	125558
144	101023	124620
145	101586	123671
146	102173	122754
147	102767	121852
148	103344	120934
149	103911	120010
150	104496	119111
151	105079	118214
152	105636	117292
153	106186	116368
154	106711	115422
155	107218	114462
156	107723	113506
157	108280	112611
158	108819	111702
159	109367	110806
160	109919	109919
161	110454	109020
162	110454	109020
163	111003	107422
164	111533	106528
165	115162	108560
166	115718	107662
167	116273	106766
168	116814	105863
169	117378	104984
170	117928	104097
171	118480	103216
172	119015	102323
173	119015	102323
174	122607	103287
175	123132	102362
176	123667	101451
177	124213	100554
178	124755	99656
179	125296	98763
180	125823	97862
181	126353	96969
182	126858	96060
183	127369	95161
184	127877	94263
185	128411	93389
186	128939	92516
187	129459	91640
188	129992	90777
189	130497	89898
190	131021	89036
191	131543	88177
192	132096	87342
193	132633	86500
194	133187	85671
195	133719	84832
196	134272	84009
197	134808	83179
198	135366	82365
199	135907	81544
200	136451	80727
201	137004	79919
202	137534	79100
203	138059	78281
204	138587	77466
205	138587	77466
206	139098	75936
207	142689	76777
208	143219	75949
209	143734	75117
210	144256	74291
211	144792	73476
212	145312	72656
213	145841	71843
214	146381	71038
215	146921	70235
216	147453	69432
217	147996	68636
218	148529	67837
219	149099	67059
220	149682	66288
221	150207	65493
222	150753	64710
223	151281	63921
224	151906	63176
225	152514	62424
226	153089	61661
227	153660	60897
228	154229	60135
229	154793	59372
230	154793	59372
231	158389	59035
232	158929	58250
233	159469	57466
234	160004	56683
235	160538	55901
236	161075	55123
237	161583	54337
238	162106	53559
239	162633	52784
240	163193	52022
241	163736	51256
242	164314	50503
243	164886	49750
244	165463	48999
245	166021	48245
246	166562	47488
247	167141	46742
248	167742	46005
249	168329	45264
250	168909	44524
251	172545	44574
252	173127	43820
253	173721	43071
254	174307	42321
255	174877	41569
256	175456	40820
257	176027	40071
258	176572	39317
259	177128	38568
260	177675	37818
261	178230	37071
262	178773	36324
263	179320	35579
264	179872	34837
265	183495	34676
266	184045	33922
267	184599	33170
268	185154	32420
269	185726	31674
270	186278	30926
271	186812	30177
272	187365	29432
273	187910	28688
274	188464	27947
275	189024	27208
276	189579	26469
277	193209	26148
278	193733	25395
279	194283	24647
280	194845	23902
281	195377	23155
282	195942	22414
283	196487	21671
284	197016	20928
285	197562	20188
286	198102	19450
287	198664	18714
288	199207	17979
289	199735	17243
290	200284	16510
291	200828	15779
292	201403	15051
293	201957	14323
294	202492	13594
295	203014	12867
296	203546	12141
297	204097	11418
298	204645	10695
299	205207	9975
300	205791	9257
301	206360	8539
302	206919	7821
303	207498	7106
304	208053	6390
305	208620	5676
306	209197	4964
307	209763	4251
308	210325	3540
309	210888	2830
310	214513	2152
311	215064	1433
312	215622	716
313	216155	0
